"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 21 02:52:05 UTC 2026","Sat Mar 21 02:52:17 UTC 2026","11752","pytests.specs.automation_exercise.individual_tests","test_tc15_place_order_register_before_checkout","","","","test_tc15_place_order_register_before_checkout[chromium]","Verify user can place order by registering before checkout process"
"failed","Sat Mar 21 02:50:17 UTC 2026","Sat Mar 21 02:50:30 UTC 2026","12615","pytests.specs.automation_exercise.individual_tests","test_tc01_register_user","","","","test_tc01_register_user[chromium]","Verify user can successfully register with valid details"
"passed","Sat Mar 21 02:51:56 UTC 2026","Sat Mar 21 02:52:03 UTC 2026","6380","pytests.specs.automation_exercise.individual_tests","test_tc17_remove_products_cart","","","","test_tc17_remove_products_from_cart[chromium]","Verify user can remove products from shopping cart"
"passed","Sat Mar 21 02:52:21 UTC 2026","Sat Mar 21 02:52:26 UTC 2026","4487","pytests.specs.automation_exercise.individual_tests","test_tc26_verify_scroll_up_without_arrow_button","","","","test_tc26_verify_scroll_up_without_arrow_button[chromium]",""
"passed","Sat Mar 21 02:52:04 UTC 2026","Sat Mar 21 02:52:14 UTC 2026","9968","pytests.specs.automation_exercise.individual_tests","test_tc18_view_category_products","","","","test_tc18_view_category_products[webkit]","Verify user can browse products by categories"
"passed","Sat Mar 21 02:53:15 UTC 2026","Sat Mar 21 02:53:41 UTC 2026","25551","pytests.specs.automation_exercise.individual_tests","test_tc20_search_products_verify_cart_after_login","","","","test_tc20_search_products_and_verify_cart_after_login[webkit]","Verify cart items persist after login when products are added before login"
"broken","Sat Mar 21 02:52:09 UTC 2026","Sat Mar 21 02:52:53 UTC 2026","44204","pytests.specs.automation_exercise.individual_tests","test_tc06_contact_us_form","","","","test_tc06_contact_us_form[chromium]","Verify user can submit contact us form successfully"
"passed","Sat Mar 21 02:52:19 UTC 2026","Sat Mar 21 02:52:32 UTC 2026","12776","pytests.specs.automation_exercise.individual_tests","test_tc20_search_products_verify_cart_after_login","","","","test_tc20_search_products_and_verify_cart_after_login[chromium]","Verify cart items persist after login when products are added before login"
"failed","Sat Mar 21 02:53:06 UTC 2026","Sat Mar 21 02:53:22 UTC 2026","15820","pytests.specs.automation_exercise.individual_tests","test_tc16_place_order_login_before_checkout","","","","test_tc16_place_order_login_before_checkout[webkit]","Verify user can place order by logging in before checkout process"
"passed","Sat Mar 21 02:52:38 UTC 2026","Sat Mar 21 02:53:03 UTC 2026","25704","pytests.specs.automation_exercise.individual_tests","test_tc06_contact_us_form","","","","test_tc06_contact_us_form[webkit]","Verify user can submit contact us form successfully"
"passed","Sat Mar 21 02:51:48 UTC 2026","Sat Mar 21 02:51:52 UTC 2026","4174","pytests.specs.automation_exercise.individual_tests","test_tc21_add_review_product","","","","test_tc21_add_review_on_product[chromium]",""
"passed","Sat Mar 21 02:50:47 UTC 2026","Sat Mar 21 02:50:55 UTC 2026","8763","pytests.specs.automation_exercise.individual_tests","test_parametrized_invalid_login","","","","test_parametrized_invalid_login[webkit-test@example.com-wrongpassword]",""
